Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2511","Wheat and products","2022","2022","1000 t","1149","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","9042","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","55","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2511","Wheat and products","2022","2022","1000 t","2630","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2807","Rice and products","2022","2022","1000 t","57189","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","1295","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","19","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2807","Rice and products","2022","2022","1000 t","42258","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2520","Cereals, other","2022","2022","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","38","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2520","Cereals, other","2022","2022","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2541","Sugar non-centrifugal","2022","2022","1000 t","188","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2541","Sugar non-centrifugal","2022","2022","1000 t","188","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","7","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","5392","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","94","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","20","I","Imputed value",""
"FBS","Food Balances (2010-)","050","Bangladesh","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","5053","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5511","Production","S2511","Wheat and products","2022","2022","1000 t","10356","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","6257","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","3352","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5142","Food","S2511","Wheat and products","2022","2022","1000 t","11518","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5511","Production","S2807","Rice and products","2022","2022","1000 t","10776","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","1181","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","2080","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5142","Food","S2807","Rice and products","2022","2022","1000 t","7936","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5511","Production","S2520","Cereals, other","2022","2022","1000 t","208","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","29","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","25","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5142","Food","S2520","Cereals, other","2022","2022","1000 t","184","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5511","Production","S2541","Sugar non-centrifugal","2022","2022","1000 t","452","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5142","Food","S2541","Sugar non-centrifugal","2022","2022","1000 t","452","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","82","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","6","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","5850","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","740","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","392","I","Imputed value",""
"FBS","Food Balances (2010-)","076","Brazil","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","5515","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5511","Production","S2511","Wheat and products","2022","2022","1000 t","9733","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","8377","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","530","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5142","Food","S2511","Wheat and products","2022","2022","1000 t","15189","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5511","Production","S2807","Rice and products","2022","2022","1000 t","5800","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","310","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","68","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5142","Food","S2807","Rice and products","2022","2022","1000 t","5484","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","12","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5142","Food","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","9","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","49","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","13","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","24","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","7293","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","21","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","816","I","Imputed value",""
"FBS","Food Balances (2010-)","818","Egypt","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","5816","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5511","Production","S2511","Wheat and products","2022","2022","1000 t","108472","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","156","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","8020","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5142","Food","S2511","Wheat and products","2022","2022","1000 t","94561","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5511","Production","S2807","Rice and products","2022","2022","1000 t","196246","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","18","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","33107","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5142","Food","S2807","Rice and products","2022","2022","1000 t","140276","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5511","Production","S2520","Cereals, other","2022","2022","1000 t","30","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","50","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5142","Food","S2520","Cereals, other","2022","2022","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5511","Production","S2541","Sugar non-centrifugal","2022","2022","1000 t","8532","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5142","Food","S2541","Sugar non-centrifugal","2022","2022","1000 t","3962","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","1983","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","168","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","37","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","97548","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","33","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","1280","I","Imputed value",""
"FBS","Food Balances (2010-)","356","India","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","88086","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5511","Production","S2511","Wheat and products","2022","2022","1000 t","102","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","709","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","30","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5142","Food","S2511","Wheat and products","2022","2022","1000 t","705","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5142","Food","S2807","Rice and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5511","Production","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","7","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5142","Food","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","428","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","91","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","42","I","Imputed value",""
"FBS","Food Balances (2010-)","422","Lebanon","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","430","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2511","Wheat and products","2022","2022","1000 t","476","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","1672","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5142","Food","S2511","Wheat and products","2022","2022","1000 t","2625","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2807","Rice and products","2022","2022","1000 t","33","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","178","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5142","Food","S2807","Rice and products","2022","2022","1000 t","151","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5142","Food","S2520","Cereals, other","2022","2022","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5142","Food","S2541","Sugar non-centrifugal","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","103","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","115","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","1279","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","14","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","729","Sudan","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","1146","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5511","Production","S2511","Wheat and products","2022","2022","1000 t","20729","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","175","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","11444","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5142","Food","S2511","Wheat and products","2022","2022","1000 t","4263","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5511","Production","S2807","Rice and products","2022","2022","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","132","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5142","Food","S2807","Rice and products","2022","2022","1000 t","121","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5511","Production","S2520","Cereals, other","2022","2022","1000 t","223","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","29","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","32","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5142","Food","S2520","Cereals, other","2022","2022","1000 t","42","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","71","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","33","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","5746","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","273","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","27","I","Imputed value",""
"FBS","Food Balances (2010-)","804","Ukraine","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","3924","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5511","Production","S2511","Wheat and products","2022","2022","1000 t","45012","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","11047","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","24089","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5142","Food","S2511","Wheat and products","2022","2022","1000 t","31009","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5511","Production","S2807","Rice and products","2022","2022","1000 t","7274","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","1841","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","3094","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5142","Food","S2807","Rice and products","2022","2022","1000 t","3944","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5511","Production","S2520","Cereals, other","2022","2022","1000 t","235","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","2255","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","645","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5142","Food","S2520","Cereals, other","2022","2022","1000 t","1688","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","185","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","281","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","2143","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","16072","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","20658","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","5050","I","Imputed value",""
"FBS","Food Balances (2010-)","840","United States of America","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","29852","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5511","Production","S2511","Wheat and products","2022","2022","1000 t","100","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","3489","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","9","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5142","Food","S2511","Wheat and products","2022","2022","1000 t","3985","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","969","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5911","Export quantity","S2807","Rice and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5142","Food","S2807","Rice and products","2022","2022","1000 t","969","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5511","Production","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5142","Food","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","424","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","115","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","54","I","Imputed value",""
"FBS","Food Balances (2010-)","887","Yemen","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","474","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5511","Production","S2511","Wheat and products","2022","2022","1000 t","200","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5611","Import quantity","S2511","Wheat and products","2022","2022","1000 t","267","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5911","Export quantity","S2511","Wheat and products","2022","2022","1000 t","8","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5142","Food","S2511","Wheat and products","2022","2022","1000 t","358","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5511","Production","S2807","Rice and products","2022","2022","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5611","Import quantity","S2807","Rice and products","2022","2022","1000 t","353","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5142","Food","S2807","Rice and products","2022","2022","1000 t","275","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5511","Production","S2520","Cereals, other","2022","2022","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5611","Import quantity","S2520","Cereals, other","2022","2022","1000 t","13","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5911","Export quantity","S2520","Cereals, other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5142","Food","S2520","Cereals, other","2022","2022","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5511","Production","S2570","Oilcrops, Other","2022","2022","1000 t","12","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5611","Import quantity","S2570","Oilcrops, Other","2022","2022","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5911","Export quantity","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5142","Food","S2570","Oilcrops, Other","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5511","Production","S2605","Vegetables, other","2022","2022","1000 t","206","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5611","Import quantity","S2605","Vegetables, other","2022","2022","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5911","Export quantity","S2605","Vegetables, other","2022","2022","1000 t","7","I","Imputed value",""
"FBS","Food Balances (2010-)","716","Zimbabwe","5142","Food","S2605","Vegetables, other","2022","2022","1000 t","188","I","Imputed value",""
